Hello,,
send,text,AT&T Wireless
expectPayload,equalTo,"OK, let’s get your bill question answered! What are you trying to do today?"
send,text,AT&T Wireless>>Make or edit a payment arrangement
expectPayload,equalTo,Got it! <a href='https://www.att.com/support/article/my-account/KM1025834' target='_blank'><u>Get more info and find out how to make a payment arrangement</u></a>
send,text,AT&T Wireless>>Get info about a bill credit
expectPayload,equalTo,"So I can help you better, what kind of credit are you asking about?"
send,text,AT&T Wireless>>Get info about a bill credit>>Credit for switching to AT&T
expectPayload,equalTo,I'm connecting you with someone who can get you the help you need. Thanks for chatting with me today!
send,text,AT&T Wireless>>Get info about a bill credit>>Another credit question
expectPayload,equalTo,"Got it! Here’s what to know: If you’re expecting a bill credit, it can take up to 2 bill periods before it shows on your bill.<br/><br/>Want to see if your bill credit’s been applied? <a href='https://m.att.com/myatt/native/deepLink.html?action=BillPayment&appInstall=N' target='_blank'><u>Go to your bill</u></a> and select <b>View details</b> (under Make a payment)."
send,text,AT&T Wireless>>Ask about a charge on my bill
expectPayload,equalTo,Ok! What can I help you with?
send,text,AT&T Wireless>>Ask about a charge on my bill>>Fee to cancel my account
expectPayload,equalTo,"Got it! Here’s what to know about canceling your service:<ul><li>Have an installment plan? You'll have to pay the full remaining installment balance right away.</li><li>If you have a service commitment, you may owe an early termination fee (ETF). Learn how to estimate your ETF.</li></ul>Still want info about cancellation fees?"
send,text,AT&T Wireless>>Ask about a charge on my bill>>Fee to cancel my account>>Yes
expectPayload,equalTo,"Want to cancel a line for a tablet or wearable? <a href='https://www.att.com/support/article/directv/KM1009500' target='_blank'><u>Cancel it online now</u></a><br/><br/>Trying to cancel a smartphone line or your whole account? Call us at <a href=’tel:800-331-0500’><u>800.331.0500</u></a> during these hours:<ul><li>Monday to Friday, 8 a.m. to 10 p.m. ET</li><li>Saturday and Sunday, 9 a.m. to 10 p.m. ET</li></ul>"
send,text,AT&T Wireless>>Ask about a charge on my bill>>Fee to cancel my account>>No
expectPayload,equalTo,I’m here if you have more questions.
send,text,AT&T Wireless>>Ask about a charge on my bill>>Refund for a charge
expectPayload,equalTo,I'm connecting you with someone who can get you the help you need. Thanks for chatting with me today!
send,text,AT&T Wireless>>Ask about a charge on my bill>>Another kind of fee or charge question
expectPayload,equalTo,Got it! What kind of fee or charge do you have a question about?
send,text,AT&T Wireless>>Ask about a charge on my bill>>Another kind of fee or charge question>>Taxes & surcharges
expectPayload,equalTo,"The rates you pay for taxes, surcharges, and other fees are determined by federal, state, and local laws.<br/><br/>For more info:<ul><li><a href='https://www.wireless.att.com/cell-phone-service/additionalcharges/changeZip.jsp' target='_blank'><u>See rates for your area</u></a></li><li><a href='https://www.att.com/support/article/my-account/KM1022940' target='_blank'><u>Learn more about taxes, surcharges, and fees</u></a></li></ul>"
send,text,AT&T Wireless>>Ask about a charge on my bill>>Another kind of fee or charge question>>Access fees
expectPayload,equalTo,"If you have a Mobile Share or an AT&T unlimited plan, we charge a monthly device access fee for each smartphone or tablet."
send,text,AT&T Wireless>>Ask about a charge on my bill>>Another kind of fee or charge question>>Activation or upgrade fees
expectPayload,equalTo,We charge these fees when you:<ul><li>Activate a new line</li><li>Upgrade your device</li><li>Bring your own device</li></ul><br/>Want more info?<br/><ol type='1'><li><a href='https://m.att.com/myatt/native/deepLink.html?action=BillPayment&appInstall=N' target='_blank'><u>Go to your bill.</u></a></li><li>Find the charge and Select <b>Learn more about this fee</b>.Think we charged you by mistake? Select <b>Dispute this fee.</b></li></ol>
send,text,AT&T Wireless>>Ask about a charge on my bill>>Another kind of fee or charge question>>Early termination fees
expectPayload,equalTo,We charge an early termination fee (ETF) if you don’t complete your service commitment. The ETF decreases over time and is based on how many months are left in your contract.<br/><br/><a href='https://www.att.com/support/article/my-account/KM1040766' target='_blank'><u>Learn more about ETFs</u></a>
send,text,AT&T Wireless>>Ask about a charge on my bill>>Another kind of fee or charge question>>Late fees
